Time (s): 0
1	S: 3. N: 1. P: 2. 
1	S: 4. P: 2. 
445	N: 1. 
1	S: 1. 
1	S: 2. 
Time (s): 121
1	S: 4. N: 2. P: 2. 
1	S: 3. N: 1. P: 2. 
443	N: 1. 
1	S: 1. 
1	S: 2. 
Time (s): 122
1	S: 3. N: 1. P: 2. 
1	S: 4. N: 2. P: 2. 
443	N: 1. 
1	S: 1. 
1	S: 2. 
Time (s): 123
1	S: 4. P: 2. 
444	N: 1. 
1	S: 1. 
1	S: 2. 
1	S: 3. N: 2. P: 2. 
Time (s): 124
1	S: 4. P: 2. 
444	N: 1. 
1	S: 3. N: 2. P: 2. 
1	S: 1. 
1	S: 2. 
Time (s): 125
1	S: 3. N: 1. P: 2. 
1	S: 4. N: 1. P: 2. 
444	N: 1. 
1	S: 1. 
1	S: 2. 
Time (s): 126
1	S: 4. N: 1. P: 2. 
443	N: 1. 
1	S: 3. N: 2. P: 2. 
1	S: 1. 
1	S: 2. 
Time (s): 127
1	S: 4. P: 2. 
1	S: 3. N: 1. P: 2. 
445	N: 1. 
1	S: 1. 
1	S: 2. 
Time (s): 128
1	S: 3. N: 1. P: 2. 
1	S: 1. 
1	S: 2. 
444	N: 1. 
1	S: 4. N: 1. P: 2. 
Time (s): 129
1	S: 4. P: 2. 
444	N: 1. 
1	S: 3. N: 2. P: 2. 
1	S: 1. 
1	S: 2. 
Time (s): 130
1	S: 4. P: 2. 
1	S: 3. N: 1. P: 2. 
445	N: 1. 
1	S: 1. 
1	S: 2. 
Time (s): 131
1	S: 3. N: 1. P: 2. 
1	S: 4. P: 2. 
445	N: 1. 
1	S: 1. 
1	S: 2. 
Time (s): 132
1	S: 3. P: 2. 
1	S: 4. N: 2. P: 2. 
444	N: 1. 
1	S: 1. 
1	S: 2. 
Time (s): 133
1	S: 4. P: 2. 
1	S: 1. 
1	S: 2. 
1	S: 3. N: 2. P: 2. 
444	N: 1. 
Time (s): 134
1	S: 3. P: 2. 
1	S: 4. N: 1. P: 2. 
445	N: 1. 
1	S: 1. 
1	S: 2. 
Time (s): 135
1	S: 4. N: 1. P: 2. 
1	S: 3. N: 1. P: 2. 
444	N: 1. 
1	S: 1. 
1	S: 2. 
